id,time,latitude,longitude,speed
0,1972040900,128N,904E,60
0,1972040906,134N,906E,75
0,1972040912,140N,907E,85
0,1972040918,145N,908E,65
0,1972041000,150N,909E,60
0,1972041006,155N,909E,55
0,1972041012,160N,909E,55
0,1972041018,165N,910E,55
0,1972041100,169N,917E,50
1,1972090812,155N,911E,55
1,1972090818,159N,900E,55
1,1972090900,164N,889E,60
1,1972090906,168N,879E,70
1,1972090912,174N,870E,80
1,1972090918,178N,862E,80
1,1972091000,183N,856E,75
2,1972092012,180N,900E,55
2,1972092018,183N,893E,55
2,1972092100,184N,887E,60
2,1972092106,186N,881E,65
2,1972092112,187N,874E,65
2,1972092118,188N,867E,70
2,1972092200,189N,858E,65
3,1972111600,100N,896E,45
3,1972111606,102N,893E,45
3,1972111612,105N,889E,50
3,1972111618,107N,886E,55
3,1972111700,109N,885E,60
3,1972111706,111N,882E,60
3,1972111712,115N,878E,60
3,1972111718,117N,876E,60
3,1972111800,120N,875E,65
3,1972111806,122N,873E,65
3,1972111812,124N,873E,65
3,1972111818,126N,871E,65
3,1972111900,129N,870E,65
3,1972111906,133N,869E,70
3,1972111912,136N,869E,70
3,1972111918,139N,870E,70
3,1972112000,141N,873E,70
3,1972112006,141N,874E,70
3,1972112012,141N,874E,65
3,1972112018,141N,874E,65
3,1972112100,141N,874E,70
3,1972112106,139N,869E,80
3,1972112112,129N,848E,90
3,1972112118,128N,836E,90
3,1972112200,130N,828E,75
3,1972112206,132N,820E,65
3,1972112212,135N,811E,45
3,1972112218,137N,803E,40
3,1972112300,140N,794E,35
4,1973100806,131N,882E,30
4,1973100812,135N,879E,35
4,1973100818,140N,876E,35
4,1973100900,144N,874E,35
4,1973100906,147N,873E,40
4,1973100912,150N,873E,40
4,1973100918,153N,872E,40
4,1973101000,158N,872E,40
4,1973101006,164N,872E,40
4,1973101012,171N,872E,40
4,1973101018,177N,872E,35
4,1973101100,183N,872E,35
4,1973101106,194N,872E,30
4,1973101112,206N,871E,30
5,1973110406,81N,897E,35
5,1973110412,86N,893E,40
5,1973110418,90N,889E,50
5,1973110500,95N,885E,55
5,1973110506,102N,881E,60
5,1973110512,110N,878E,60
5,1973110518,116N,875E,60
5,1973110600,122N,874E,60
5,1973110606,128N,874E,60
5,1973110612,135N,874E,60
5,1973110618,141N,875E,55
5,1973110700,147N,877E,55
5,1973110706,159N,879E,55
5,1973110712,171N,882E,55
5,1973110718,176N,884E,50
5,1973110800,180N,883E,45
5,1973110806,188N,879E,45
5,1973110812,196N,874E,40
5,1973110818,201N,869E,30
6,1973111506,132N,886E,35
6,1973111512,136N,883E,40
6,1973111518,141N,882E,45
6,1973111600,148N,883E,50
6,1973111606,156N,883E,55
6,1973111612,165N,884E,55
6,1973111618,178N,886E,55
6,1973111700,190N,890E,55
6,1973111706,200N,895E,55
6,1973111712,210N,900E,50
6,1973111718,220N,906E,50
6,1973111800,230N,912E,40
7,1973120600,88N,864E,35
7,1973120606,93N,863E,40
7,1973120612,98N,861E,45
7,1973120618,102N,860E,50
7,1973120700,108N,858E,55
7,1973120706,117N,858E,60
7,1973120712,127N,858E,60
7,1973120718,136N,858E,60
7,1973120800,146N,859E,60
7,1973120806,157N,861E,55
7,1973120812,170N,864E,55
7,1973120818,184N,870E,55
7,1973120900,200N,880E,50
7,1973120906,216N,893E,45
8,1974112418,115N,845E,35
8,1974112500,121N,841E,40
8,1974112506,129N,839E,45
8,1974112512,137N,840E,45
8,1974112518,139N,848E,50
8,1974112600,140N,856E,55
8,1974112606,145N,858E,60
8,1974112612,151N,860E,60
8,1974112618,158N,863E,60
8,1974112700,167N,868E,65
8,1974112706,180N,877E,70
8,1974112712,193N,886E,70
8,1974112718,202N,892E,75
8,1974112800,211N,899E,70
8,1974112806,222N,905E,65
9,1975050206,105N,711E,35
9,1975050212,105N,711E,40
9,1975050218,107N,711E,45
9,1975050300,109N,710E,50
9,1975050306,113N,709E,50
9,1975050312,116N,707E,55
9,1975050318,118N,707E,60
9,1975050400,119N,706E,65
9,1975050406,122N,705E,65
9,1975050412,125N,704E,70
9,1975050418,130N,703E,70
9,1975050500,134N,701E,75
9,1975050506,137N,700E,80
9,1975050512,140N,698E,85
9,1975050518,143N,682E,85
9,1975050600,144N,665E,80
9,1975050606,142N,676E,75
9,1975050612,140N,685E,70
9,1975050618,138N,678E,65
9,1975050700,136N,672E,70
9,1975050706,137N,666E,75
9,1975050712,140N,660E,80
9,1975050718,140N,657E,85
9,1975050800,141N,656E,90
9,1975050806,145N,653E,95
9,1975050812,150N,650E,90
9,1975050818,152N,649E,85
9,1975050900,154N,648E,80
9,1975050906,157N,646E,75
9,1975050912,160N,645E,70
9,1975050918,162N,645E,65
9,1975051000,164N,645E,60
9,1975051006,167N,645E,55
9,1975051012,170N,645E,50
9,1975051018,174N,645E,45
9,1975051100,179N,645E,40
9,1975051106,186N,645E,35
9,1975051112,194N,646E,30
10,1975050518,145N,945E,35
10,1975050600,149N,941E,40
10,1975050606,153N,933E,50
10,1975050612,156N,926E,65
10,1975050618,158N,929E,75
10,1975050700,159N,934E,75
10,1975050706,161N,935E,70
10,1975050712,165N,937E,65
10,1975050718,170N,944E,40
10,1975050800,176N,954E,25
10,1975050806,183N,967E,20
11,1975102018,192N,691E,35
11,1975102100,194N,686E,40
11,1975102106,199N,684E,50
11,1975102112,205N,683E,60
11,1975102118,205N,683E,70
11,1975102200,206N,685E,80
11,1975102206,212N,688E,80
12,1975110718,124N,857E,35
12,1975110800,130N,844E,35
12,1975110806,140N,839E,35
12,1975110812,150N,840E,35
12,1975110818,154N,844E,40
12,1975110900,158N,848E,40
12,1975110906,161N,853E,40
12,1975110912,164N,857E,45
12,1975110918,165N,860E,45
12,1975111000,167N,864E,50
12,1975111006,178N,872E,50
12,1975111012,190N,880E,45
12,1975111018,195N,886E,45
12,1975111100,201N,892E,40
12,1975111106,208N,899E,40
12,1975111112,215N,906E,35
12,1975111118,223N,913E,35
12,1975111200,231N,921E,30
13,1975112506,112N,818E,35
13,1975112512,116N,816E,35
13,1975112518,119N,815E,35
13,1975112600,122N,815E,35
13,1975112606,125N,816E,30
13,1975112612,129N,817E,30
13,1975112618,133N,819E,30
13,1975112700,137N,823E,35
13,1975112706,141N,829E,35
13,1975112712,143N,836E,35
13,1975112718,144N,842E,35
13,1975112800,144N,847E,35
13,1975112806,145N,851E,35
13,1975112812,146N,856E,35
13,1975112818,147N,861E,35
13,1975112900,148N,867E,35
13,1975112906,149N,874E,35
13,1975112912,150N,880E,35
13,1975112918,149N,883E,35
13,1975113000,146N,883E,30
13,1975113006,143N,882E,30
13,1975113012,140N,880E,25
13,1975113018,140N,876E,25
13,1975120100,141N,872E,20
13,1975120106,142N,869E,20
14,1976042918,132N,927E,35
14,1976043000,134N,928E,40
14,1976043006,139N,931E,45
14,1976043012,145N,935E,45
14,1976043018,149N,936E,50
14,1976050100,154N,937E,50
14,1976050106,162N,939E,40
14,1976050112,170N,940E,35
14,1976050118,175N,941E,40
14,1976050200,180N,942E,45
14,1976050206,185N,944E,45
14,1976050212,190N,947E,35
15,1976060206,190N,713E,35
15,1976060212,196N,714E,40
15,1976060218,203N,716E,40
15,1976060300,209N,718E,40
15,1976060306,213N,720E,40
15,1976060312,216N,721E,35
16,1976091006,202N,898E,40
16,1976091012,206N,894E,40
16,1976091018,209N,889E,40
16,1976091100,213N,884E,35
16,1976091106,218N,878E,30
16,1976091112,223N,870E,20
16,1976091118,228N,858E,20
17,1976101506,124N,602E,35
17,1976101512,126N,590E,40
17,1976101518,127N,580E,45
17,1976101600,129N,570E,50
17,1976101606,130N,560E,50
17,1976101612,130N,550E,50
17,1976101618,129N,543E,50
17,1976101700,128N,538E,45
17,1976101706,127N,534E,40
17,1976101712,126N,531E,35
17,1976101718,125N,528E,30
18,1976122918,87N,907E,30
18,1976123000,89N,909E,35
18,1976123006,94N,914E,40
18,1976123012,100N,920E,45
18,1976123018,106N,924E,50
18,1976123100,112N,928E,55
18,1976123106,116N,931E,55
18,1976123112,120N,933E,50
18,1976123118,124N,935E,45
18,1977010100,127N,937E,40
18,1977010106,125N,938E,35
18,1977010112,120N,936E,30
18,1977010118,119N,928E,30
18,1977010200,119N,919E,25
18,1977010206,123N,915E,20
18,1977010212,126N,913E,20
19,1977051118,180N,880E,55
19,1977051200,188N,886E,55
19,1977051206,199N,892E,60
19,1977051212,210N,898E,50
19,1977051218,215N,902E,40
19,1977051300,220N,905E,35
19,1977051306,229N,906E,30
20,1977061018,193N,664E,35
20,1977061100,195N,657E,40
20,1977061106,197N,646E,45
20,1977061112,199N,635E,50
20,1977061118,201N,627E,55
20,1977061200,202N,620E,55
20,1977061206,203N,613E,60
20,1977061212,204N,606E,55
20,1977061218,205N,600E,55
20,1977061300,205N,594E,50
21,1977102918,139N,859E,35
21,1977103000,143N,851E,35
21,1977103006,145N,841E,35
21,1977103012,146N,830E,35
21,1977103018,146N,821E,35
21,1977103100,147N,813E,35
21,1977103106,149N,803E,40
21,1977103112,151N,791E,40
21,1977103118,152N,776E,35
22,1977111506,137N,672E,50
22,1977111512,137N,663E,55
22,1977111518,136N,659E,65
22,1977111600,134N,659E,80
22,1977111606,134N,659E,85
22,1977111612,133N,659E,90
22,1977111618,131N,658E,90
22,1977111700,127N,658E,95
22,1977111706,121N,659E,95
22,1977111712,115N,662E,100
22,1977111718,111N,666E,100
22,1977111800,108N,670E,105
22,1977111806,107N,674E,105
22,1977111812,105N,677E,110
22,1977111818,104N,681E,110
22,1977111900,102N,685E,110
22,1977111906,101N,694E,100
22,1977111912,99N,705E,95
22,1977111918,98N,712E,90
23,1977111512,65N,867E,55
23,1977111518,67N,862E,60
23,1977111600,70N,857E,70
23,1977111606,77N,849E,75
23,1977111612,86N,843E,80
23,1977111618,91N,840E,85
23,1977111700,97N,837E,90
23,1977111706,103N,834E,95
23,1977111712,110N,831E,95
23,1977111718,117N,828E,100
23,1977111800,125N,825E,100
23,1977111806,132N,822E,105
23,1977111812,138N,818E,105
23,1977111818,143N,815E,110
23,1977111900,148N,812E,110
23,1977111906,155N,809E,110
23,1977111912,162N,805E,105
23,1977111918,169N,803E,95
24,1978051400,111N,910E,25
24,1978051406,120N,912E,25
24,1978051412,127N,914E,25
24,1978051418,132N,915E,30
24,1978051500,138N,917E,30
24,1978051506,143N,918E,30
24,1978051512,149N,920E,35
24,1978051518,152N,921E,35
24,1978051600,156N,922E,35
24,1978051606,163N,923E,40
24,1978051612,171N,923E,40
24,1978051618,177N,923E,45
24,1978051700,183N,923E,50
24,1978051706,191N,926E,60
24,1978051712,201N,933E,45
25,1978102500,125N,903E,25
25,1978102506,130N,896E,25
25,1978102512,135N,889E,30
25,1978102518,141N,882E,30
25,1978102600,148N,875E,35
25,1978102606,157N,870E,35
25,1978102612,166N,867E,35
25,1978102618,172N,881E,35
25,1978102700,179N,897E,35
25,1978102706,185N,888E,35
25,1978102712,192N,878E,40
25,1978102718,196N,881E,40
25,1978102800,196N,890E,35
26,1978110306,111N,814E,15
26,1978110312,117N,811E,20
26,1978110318,120N,809E,20
26,1978110400,121N,806E,20
26,1978110406,121N,796E,20
26,1978110412,121N,783E,20
26,1978110418,120N,768E,20
26,1978110500,119N,755E,20
26,1978110506,119N,747E,20
26,1978110512,119N,739E,25
26,1978110518,120N,731E,30
26,1978110600,121N,722E,30
26,1978110606,123N,713E,35
26,1978110612,127N,704E,35
26,1978110618,132N,694E,40
26,1978110700,136N,683E,45
26,1978110706,140N,673E,50
26,1978110712,144N,663E,55
26,1978110718,148N,656E,60
26,1978110800,153N,649E,70
26,1978110806,162N,638E,75
26,1978110812,173N,628E,75
26,1978110818,178N,624E,80
26,1978110900,184N,623E,80
26,1978110906,193N,622E,80
26,1978110912,201N,623E,75
26,1978110918,208N,626E,75
26,1978111000,215N,631E,65
26,1978111006,221N,637E,60
26,1978111012,227N,645E,55
26,1978111018,231N,654E,50
26,1978111100,232N,663E,45
26,1978111106,232N,670E,40
26,1978111112,231N,675E,35
26,1978111118,231N,679E,20
27,1978111918,77N,912E,30
27,1978112000,77N,910E,35
27,1978112006,77N,907E,40
27,1978112012,77N,901E,40
27,1978112018,77N,894E,40
27,1978112100,77N,887E,45
27,1978112106,77N,880E,50
27,1978112112,77N,873E,50
27,1978112118,77N,867E,55
27,1978112200,76N,861E,60
27,1978112206,74N,855E,70
27,1978112212,72N,849E,75
27,1978112218,71N,843E,80
27,1978112300,72N,837E,85
27,1978112306,75N,830E,90
27,1978112312,78N,822E,80
27,1978112318,81N,815E,70
27,1978112400,85N,807E,60
27,1978112406,90N,797E,50
27,1978112412,95N,785E,45
27,1978112418,100N,770E,35
27,1978112500,105N,755E,30
27,1978112506,110N,743E,30
27,1978112512,115N,733E,30
27,1978112518,120N,725E,35
27,1978112600,124N,717E,35
27,1978112606,128N,710E,35
27,1978112612,132N,704E,30
27,1978112618,136N,700E,25
27,1978112700,140N,696E,25
27,1978112706,145N,690E,20
27,1978112712,151N,684E,20
28,1979050512,70N,899E,20
28,1979050518,70N,899E,20
28,1979050600,70N,897E,25
28,1979050606,70N,894E,25
28,1979050612,71N,890E,30
28,1979050618,71N,886E,30
28,1979050700,71N,882E,35
28,1979050706,68N,874E,35
28,1979050712,65N,867E,40
28,1979050718,61N,865E,45
28,1979050800,58N,863E,50
28,1979050806,57N,862E,55
28,1979050812,58N,860E,60
28,1979050818,62N,858E,60
28,1979050900,68N,855E,65
28,1979050906,76N,855E,65
28,1979050912,86N,854E,60
28,1979050918,97N,850E,60
28,1979051000,108N,846E,65
28,1979051006,115N,843E,70
28,1979051012,121N,840E,75
28,1979051018,125N,837E,75
28,1979051100,130N,832E,75
28,1979051106,136N,826E,80
28,1979051112,141N,819E,85
28,1979051118,143N,812E,85
28,1979051200,145N,805E,80
28,1979051206,149N,801E,80
28,1979051212,154N,799E,60
28,1979051218,157N,798E,55
28,1979051300,160N,797E,50
29,1979061712,172N,681E,25
29,1979061718,176N,670E,30
29,1979061800,178N,658E,30
29,1979061806,179N,649E,35
29,1979061812,180N,640E,40
29,1979061818,181N,630E,45
29,1979061900,182N,620E,50
29,1979061906,184N,608E,50
29,1979061912,186N,596E,50
29,1979061918,187N,587E,50
29,1979062000,188N,581E,40
30,1979091800,119N,732E,15
30,1979091806,122N,728E,15
30,1979091812,126N,725E,15
30,1979091818,130N,723E,15
30,1979091900,134N,720E,20
30,1979091906,138N,718E,20
30,1979091912,142N,715E,20
30,1979091918,145N,713E,20
30,1979092000,148N,710E,20
30,1979092006,155N,708E,25
30,1979092012,163N,705E,25
30,1979092018,166N,703E,25
30,1979092100,169N,701E,25
30,1979092106,175N,696E,25
30,1979092112,181N,690E,30
30,1979092118,184N,683E,35
30,1979092200,186N,675E,40
30,1979092206,190N,665E,45
30,1979092212,193N,654E,45
30,1979092218,194N,644E,50
30,1979092300,195N,635E,55
30,1979092306,196N,623E,50
30,1979092312,196N,612E,45
30,1979092318,196N,606E,40
30,1979092400,196N,599E,35
30,1979092406,196N,593E,30
30,1979092412,195N,586E,30
30,1979092418,196N,579E,25
30,1979092500,199N,570E,20
31,1979092100,102N,865E,20
31,1979092106,118N,857E,25
31,1979092112,128N,851E,25
31,1979092118,133N,850E,25
31,1979092200,138N,848E,25
31,1979092206,145N,842E,25
31,1979092212,151N,835E,25
31,1979092218,155N,828E,20
31,1979092300,156N,820E,20
32,1979102900,110N,910E,20
32,1979102906,114N,904E,20
32,1979102912,119N,899E,20
32,1979102918,121N,894E,25
32,1979103000,122N,889E,25
32,1979103006,125N,880E,25
32,1979103012,129N,869E,25
32,1979103018,133N,860E,30
32,1979103100,135N,851E,30
32,1979103106,133N,841E,30
32,1979103112,130N,830E,35
32,1979103118,128N,820E,35
32,1979110100,125N,810E,30
32,1979110106,124N,803E,20
32,1979110112,125N,799E,15
33,1979111400,114N,697E,20
33,1979111406,120N,694E,20
33,1979111412,127N,690E,20
33,1979111418,133N,691E,20
33,1979111500,139N,695E,20
33,1979111506,144N,697E,25
33,1979111512,149N,699E,30
33,1979111518,156N,702E,30
33,1979111600,165N,706E,35
33,1979111606,177N,709E,40
33,1979111612,186N,708E,40
33,1979111618,188N,705E,40
33,1979111700,190N,701E,40
33,1979111706,193N,698E,35
33,1979111712,196N,694E,30
34,1979112300,84N,877E,20
34,1979112306,91N,868E,25
34,1979112312,97N,859E,25
34,1979112318,103N,850E,30
34,1979112400,108N,842E,30
34,1979112406,112N,835E,30
34,1979112412,116N,829E,30
34,1979112418,122N,824E,25
34,1979112500,128N,818E,25
34,1979112506,135N,809E,25
34,1979112512,142N,795E,15
35,1980101006,88N,923E,25
35,1980101012,89N,928E,25
35,1980101018,91N,932E,25
35,1980101100,94N,935E,20
35,1980101106,96N,933E,20
35,1980101112,97N,929E,25
35,1980101118,97N,925E,25
35,1980101200,98N,921E,25
35,1980101206,101N,918E,25
35,1980101212,107N,917E,25
35,1980101218,110N,920E,25
35,1980101300,112N,924E,25
35,1980101306,113N,930E,25
35,1980101312,114N,935E,25
35,1980101318,111N,939E,25
35,1980101400,109N,940E,25
35,1980101406,106N,939E,25
35,1980101412,104N,936E,25
35,1980101418,101N,927E,25
35,1980101500,99N,915E,25
35,1980101506,98N,902E,25
35,1980101512,101N,889E,25
35,1980101518,97N,876E,25
35,1980101600,89N,861E,30
35,1980101606,87N,849E,30
35,1980101612,86N,838E,35
35,1980101618,85N,829E,35
35,1980101700,84N,821E,35
35,1980101706,83N,813E,30
35,1980101712,82N,805E,25
35,1980101718,80N,793E,25
35,1980101800,78N,775E,25
35,1980101806,76N,762E,25
35,1980101812,77N,750E,25
35,1980101818,78N,741E,25
35,1980101900,80N,732E,25
35,1980101906,83N,722E,25
35,1980101912,89N,711E,25
35,1980101918,96N,700E,25
35,1980102000,105N,691E,25
36,1980111206,113N,743E,20
36,1980111212,114N,737E,25
36,1980111218,114N,732E,25
36,1980111300,115N,727E,25
36,1980111306,117N,722E,25
36,1980111312,119N,717E,25
36,1980111318,121N,714E,25
36,1980111400,123N,712E,25
36,1980111406,125N,709E,25
36,1980111412,128N,706E,25
36,1980111418,131N,703E,25
36,1980111500,134N,700E,30
36,1980111506,137N,698E,30
36,1980111512,140N,696E,30
36,1980111518,143N,692E,30
36,1980111600,146N,688E,30
36,1980111606,148N,685E,30
36,1980111612,150N,681E,30
36,1980111618,151N,677E,30
36,1980111700,153N,673E,35
36,1980111706,158N,669E,35
36,1980111712,167N,668E,35
36,1980111718,131N,705E,35
36,1980111800,175N,679E,35
36,1980111806,186N,680E,35
36,1980111812,191N,685E,30
36,1980111818,194N,691E,25
36,1980111900,198N,697E,20
36,1980111906,202N,704E,20
37,1980121200,104N,915E,25
37,1980121206,106N,919E,25
37,1980121212,107N,923E,25
37,1980121218,108N,928E,25
37,1980121300,109N,934E,25
37,1980121306,110N,935E,25
37,1980121312,110N,935E,25
37,1980121318,107N,936E,25
37,1980121400,102N,937E,25
37,1980121406,99N,934E,25
37,1980121412,98N,926E,25
37,1980121418,95N,921E,25
37,1980121500,92N,915E,25
37,1980121506,88N,906E,25
37,1980121512,86N,896E,25
37,1980121518,85N,886E,30
37,1980121600,85N,876E,30
37,1980121606,85N,864E,35
37,1980121612,85N,850E,35
37,1980121618,85N,836E,35
37,1980121700,85N,823E,35
37,1980121706,85N,810E,30
37,1980121712,85N,798E,25
38,1981102506,70N,824E,20
38,1981102512,77N,815E,25
38,1981102518,84N,806E,25
38,1981102600,90N,799E,25
38,1981102606,95N,791E,25
38,1981102612,99N,784E,30
38,1981102618,104N,777E,30
38,1981102700,108N,768E,35
38,1981102706,113N,758E,40
38,1981102712,117N,748E,45
38,1981102718,120N,739E,50
38,1981102800,121N,731E,55
38,1981102806,123N,722E,60
38,1981102812,124N,714E,60
38,1981102818,126N,707E,60
38,1981102900,127N,701E,60
38,1981102906,129N,694E,60
38,1981102912,130N,687E,50
38,1981102918,129N,680E,45
38,1981103000,128N,671E,40
38,1981103006,135N,667E,40
38,1981103012,142N,668E,45
38,1981103018,149N,671E,50
38,1981103100,155N,673E,55
38,1981103106,164N,673E,60
38,1981103112,173N,672E,60
38,1981103118,182N,674E,60
38,1981110100,191N,678E,60
38,1981110106,200N,682E,55
38,1981110112,208N,686E,50
38,1981110118,216N,692E,45
38,1981110200,224N,699E,35
39,1981111706,127N,912E,25
39,1981111712,131N,905E,30
39,1981111718,134N,902E,40
39,1981111800,137N,901E,45
39,1981111806,141N,901E,55
39,1981111812,147N,901E,55
39,1981111818,153N,902E,60
39,1981111900,160N,903E,65
39,1981111906,167N,905E,70
39,1981111912,175N,907E,75
39,1981111918,184N,910E,75
39,1981112000,192N,912E,65
39,1981112006,201N,915E,60
39,1981112012,209N,918E,55
39,1981112018,215N,920E,50
40,1981120506,107N,875E,20
40,1981120512,108N,864E,25
40,1981120518,106N,866E,25
40,1981120600,101N,871E,25
40,1981120606,106N,872E,25
40,1981120612,114N,871E,30
40,1981120618,120N,871E,30
40,1981120700,125N,870E,35
40,1981120706,130N,869E,35
40,1981120712,135N,868E,40
40,1981120718,139N,866E,40
40,1981120800,141N,864E,45
40,1981120806,145N,862E,50
40,1981120812,149N,862E,60
40,1981120818,155N,863E,65
40,1981120900,160N,866E,70
40,1981120906,165N,866E,75
40,1981120912,170N,867E,75
40,1981120918,178N,867E,70
40,1981121000,190N,868E,60
40,1981121006,202N,870E,55
40,1981121012,215N,879E,50
40,1981121018,228N,891E,40
41,1982043006,118N,824E,20
41,1982043012,125N,821E,25
41,1982043018,132N,821E,25
41,1982050100,141N,821E,30
41,1982050106,147N,824E,30
41,1982050112,151N,827E,35
41,1982050118,156N,831E,35
41,1982050200,161N,836E,40
41,1982050206,164N,842E,45
41,1982050212,167N,850E,55
41,1982050218,170N,857E,65
41,1982050300,172N,865E,75
41,1982050306,173N,874E,85
41,1982050312,174N,885E,95
41,1982050318,174N,897E,105
41,1982050400,175N,909E,115
41,1982050406,175N,924E,120
41,1982050412,174N,943E,100
41,1982050418,175N,957E,80
41,1982050500,177N,967E,55
41,1982050506,179N,973E,40
41,1982050512,181N,974E,35
42,1982053006,132N,878E,30
42,1982053012,134N,883E,35
42,1982053018,136N,888E,40
42,1982053100,137N,891E,45
42,1982053106,141N,896E,50
42,1982053112,147N,901E,55
42,1982053118,152N,901E,55
42,1982060100,157N,899E,45
42,1982060106,160N,898E,35
42,1982060112,164N,897E,30
42,1982060118,168N,896E,25
42,1982060200,172N,894E,30
42,1982060206,175N,891E,30
42,1982060212,179N,888E,35
42,1982060218,182N,885E,40
42,1982060300,187N,881E,45
42,1982060306,192N,875E,55
42,1982060312,199N,869E,55
42,1982060318,208N,862E,45
42,1982060400,218N,854E,40
42,1982060406,229N,848E,30
43,1982101318,134N,914E,25
